team,ladder_points,points_for,points_against,points_diff,season,round,ladder_position,comp
Broncos,2,17,4,13,2016,1,4,NRL
Broncos,4,42,14,28,2016,2,2,NRL
Broncos,4,64,37,27,2016,3,5,NRL
Broncos,6,85,57,28,2016,4,2,NRL
Broncos,8,109,73,36,2016,5,1,NRL
Broncos,10,135,73,62,2016,6,1,NRL
Broncos,12,188,73,115,2016,7,1,NRL
Broncos,14,218,81,137,2016,8,1,NRL
Broncos,14,246,111,135,2016,9,2,NRL
Broncos,2,26,18,8,2017,1,5,NRL
Broncos,2,46,39,7,2017,2,7,NRL
Broncos,2,58,53,5,2017,3,9,NRL
Broncos,4,71,65,6,2017,4,8,NRL
Broncos,4,78,75,3,2017,5,9,NRL
Broncos,6,110,83,27,2017,6,7,NRL
Broncos,8,134,105,29,2017,7,6,NRL
Broncos,10,159,129,30,2017,8,5,NRL
Broncos,12,191,147,44,2017,9,4,NRL
Broncos,0,12,34,-22,2018,1,16,NRL
Broncos,2,36,54,-18,2018,2,11,NRL
Broncos,4,45,61,-16,2018,3,7,NRL
Broncos,4,59,87,-28,2018,4,10,NRL
Broncos,4,69,102,-33,2018,5,12,NRL
Broncos,6,96,120,-24,2018,6,8,NRL
Broncos,6,116,154,-38,2018,7,10,NRL
Broncos,8,140,174,-34,2018,8,10,NRL
Broncos,10,162,194,-32,2018,9,9,NRL
Broncos,0,12,22,-10,2019,1,12,NRL
Broncos,2,41,32,9,2019,2,6,NRL
Broncos,2,65,57,8,2019,3,9,NRL
Broncos,2,69,93,-24,2019,4,13,NRL
Broncos,2,85,115,-30,2019,5,13,NRL
Broncos,2,107,141,-34,2019,6,14,NRL
Broncos,4,136,147,-11,2019,7,10,NRL
Broncos,4,142,185,-43,2019,8,13,NRL
Broncos,6,168,195,-27,2019,9,11,NRL
Broncos,2,28,21,7,2020,1,5,NRL
Broncos,4,50,39,11,2020,2,5,NRL
Broncos,4,56,73,-17,2020,3,9,NRL
Broncos,4,56,132,-76,2020,4,10,NRL
Broncos,4,74,152,-78,2020,5,12,NRL
Broncos,4,80,179,-99,2020,6,14,NRL
Broncos,4,92,209,-117,2020,7,15,NRL
Broncos,4,108,235,-127,2020,8,14,NRL
Broncos,6,134,243,-109,2020,9,14,NRL
Broncos,0,16,24,-8,2021,1,10,NRL
Broncos,0,32,52,-20,2021,2,12,NRL
Broncos,2,56,52,4,2021,3,10,NRL
Broncos,2,62,92,-30,2021,4,12,NRL
Broncos,2,68,127,-59,2021,5,12,NRL
Broncos,2,80,147,-67,2021,6,14,NRL
Broncos,2,86,193,-107,2021,7,15,NRL
Broncos,4,122,221,-99,2021,8,15,NRL
Broncos,4,140,240,-100,2021,9,14,NRL
Broncos,2,11,4,7,2022,1,5,NRL
Broncos,4,27,14,13,2022,2,3,NRL
Broncos,4,39,52,-13,2022,3,8,NRL
Broncos,4,45,72,-27,2022,4,11,NRL
Broncos,4,65,96,-31,2022,5,12,NRL
Broncos,4,77,136,-59,2022,6,14,NRL
Broncos,6,111,150,-39,2022,7,9,NRL
Broncos,8,127,157,-30,2022,8,9,NRL
Broncos,10,159,169,-10,2022,9,8,NRL
Broncos,2,13,12,1,2023,1,7,NRL
Broncos,4,41,28,13,2023,2,4,NRL
Broncos,6,81,46,35,2023,3,1,NRL
Broncos,8,99,58,41,2023,4,1,NRL
Broncos,10,145,70,75,2023,5,1,NRL
Broncos,10,159,90,69,2023,6,1,NRL
Broncos,12,202,116,86,2023,7,1,NRL
Broncos,14,228,132,96,2023,8,1,NRL
Broncos,14,234,164,70,2023,9,1,NRL
Broncos,0,10,20,-10,2024,1,12,NRL
Broncos,2,38,38,0,2024,2,9,NRL
Broncos,2,50,72,-22,2024,3,14,NRL
Broncos,4,88,84,4,2024,4,12,NRL
Broncos,4,120,118,2,2024,5,11,NRL
Broncos,6,148,132,16,2024,6,10,NRL
Broncos,8,182,142,40,2024,7,6,NRL
Broncos,10,216,152,64,2024,8,5,NRL
Broncos,10,234,192,42,2024,9,7,NRL
Broncos,2,50,14,36,2025,1,2,NRL
Broncos,2,72,46,26,2025,2,6,NRL
Broncos,4,98,62,36,2025,3,8,NRL
Broncos,6,118,74,44,2025,4,3,NRL
Broncos,8,164,98,66,2025,5,2,NRL
Broncos,8,180,124,56,2025,6,3,NRL
Broncos,8,198,144,54,2025,7,5,NRL
Broncos,10,240,162,78,2025,8,5,NRL
Broncos,10,248,194,54,2025,9,5,NRL
Broncos,0,0,26,-26,2026,1,15,NRL
Broncos,0,32,66,-34,2026,2,15,NRL
Broncos,2,50,80,-30,2026,3,13,NRL
Broncos,4,76,92,-16,2026,4,10,NRL
Broncos,6,102,104,-2,2026,5,8,NRL
Broncos,6,133,139,-6,2026,6,11,NRL
Broncos,8,154,159,-5,2026,7,9,NRL
Broncos,8,154,159,-5,2026,8,9,NRL
Broncos,8,154,159,-5,2026,9,9,NRL
Broncos,10,214,241,-27,2026,10,11,NRL
Broncos,10,226,283,-57,2026,11,11,NRL
Broncos,12,226,283,-57,2026,12,11,NRL
Bulldogs,2,28,6,22,2016,1,2,NRL
Bulldogs,4,46,22,24,2016,2,3,NRL
Bulldogs,4,52,42,10,2016,3,7,NRL
Bulldogs,6,94,54,40,2016,4,1,NRL
Bulldogs,6,102,76,26,2016,5,7,NRL
Bulldogs,8,120,88,32,2016,6,5,NRL
Bulldogs,8,140,112,28,2016,7,6,NRL
Bulldogs,10,161,132,29,2016,8,6,NRL
Bulldogs,10,173,152,21,2016,9,5,NRL
Bulldogs,0,6,12,-6,2017,1,11,NRL
Bulldogs,0,30,40,-10,2017,2,13,NRL
Bulldogs,2,54,52,2,2017,3,10,NRL
Bulldogs,2,54,88,-34,2017,4,13,NRL
Bulldogs,4,64,95,-31,2017,5,12,NRL
Bulldogs,6,86,107,-21,2017,6,11,NRL
Bulldogs,8,110,116,-6,2017,7,7,NRL
Bulldogs,8,122,134,-12,2017,8,9,NRL
Bulldogs,10,138,144,-6,2017,9,8,NRL
Bulldogs,0,18,36,-18,2018,1,15,NRL
Bulldogs,0,30,66,-36,2018,2,15,NRL
Bulldogs,2,50,84,-34,2018,3,13,NRL
Bulldogs,2,66,104,-38,2018,4,14,NRL
Bulldogs,2,76,130,-54,2018,5,15,NRL
Bulldogs,4,103,140,-37,2018,6,14,NRL
Bulldogs,4,103,146,-43,2018,7,14,NRL
Bulldogs,4,117,168,-51,2018,8,14,NRL
Bulldogs,4,137,190,-53,2018,9,15,NRL
Bulldogs,0,6,40,-34,2019,1,16,NRL
Bulldogs,0,22,76,-54,2019,2,16,NRL
Bulldogs,2,44,84,-40,2019,3,15,NRL
Bulldogs,2,60,102,-42,2019,4,14,NRL
Bulldogs,2,64,142,-78,2019,5,16,NRL
Bulldogs,2,70,156,-86,2019,6,16,NRL
Bulldogs,4,94,168,-74,2019,7,16,NRL
Bulldogs,4,104,186,-82,2019,8,16,NRL
Bulldogs,4,114,208,-94,2019,9,16,NRL
Bulldogs,0,2,8,-6,2020,1,11,NRL
Bulldogs,0,18,32,-14,2020,2,14,NRL
Bulldogs,0,24,64,-40,2020,3,15,NRL
Bulldogs,2,46,66,-20,2020,4,12,NRL
Bulldogs,2,52,108,-56,2020,5,15,NRL
Bulldogs,2,70,128,-58,2020,6,15,NRL
Bulldogs,2,76,162,-86,2020,7,16,NRL
Bulldogs,2,86,188,-102,2020,8,16,NRL
Bulldogs,2,94,214,-120,2020,9,16,NRL
Bulldogs,0,16,32,-16,2021,1,13,NRL
Bulldogs,0,16,60,-44,2021,2,14,NRL
Bulldogs,0,16,84,-68,2021,3,15,NRL
Bulldogs,0,16,122,-106,2021,4,15,NRL
Bulldogs,0,34,174,-140,2021,5,16,NRL
Bulldogs,0,52,204,-152,2021,6,16,NRL
Bulldogs,2,70,216,-146,2021,7,16,NRL
Bulldogs,2,80,248,-168,2021,8,16,NRL
Bulldogs,2,92,280,-188,2021,9,16,NRL
Bulldogs,2,6,4,2,2022,1,8,NRL
Bulldogs,2,16,20,-4,2022,2,11,NRL
Bulldogs,2,28,33,-5,2022,3,11,NRL
Bulldogs,2,28,77,-49,2022,4,14,NRL
Bulldogs,2,40,109,-69,2022,5,15,NRL
Bulldogs,2,56,145,-89,2022,6,16,NRL
Bulldogs,2,70,179,-109,2022,7,16,NRL
Bulldogs,4,86,191,-105,2022,8,15,NRL
Bulldogs,4,90,205,-115,2022,9,15,NRL
Bulldogs,0,6,31,-25,2023,1,17,NRL
Bulldogs,2,32,43,-11,2023,2,14,NRL
Bulldogs,4,58,65,-7,2023,3,8,NRL
Bulldogs,4,72,81,-9,2023,4,10,NRL
Bulldogs,6,87,95,-8,2023,5,8,NRL
Bulldogs,6,103,145,-42,2023,6,13,NRL
Bulldogs,6,107,175,-68,2023,7,15,NRL
Bulldogs,6,127,208,-81,2023,8,16,NRL
Bulldogs,8,145,224,-79,2023,9,13,NRL
Bulldogs,0,8,26,-18,2024,1,15,NRL
Bulldogs,0,14,51,-37,2024,2,17,NRL
Bulldogs,2,46,51,-5,2024,3,12,NRL
Bulldogs,2,62,71,-9,2024,4,14,NRL
Bulldogs,4,92,97,-5,2024,5,13,NRL
Bulldogs,4,106,113,-7,2024,6,15,NRL
Bulldogs,6,142,125,17,2024,7,12,NRL
Bulldogs,8,142,125,17,2024,8,8,NRL
Bulldogs,10,164,139,25,2024,9,8,NRL
Bulldogs,2,28,20,8,2025,1,5,NRL
Bulldogs,4,68,44,24,2025,2,3,NRL
Bulldogs,6,84,52,32,2025,3,2,NRL
Bulldogs,8,104,58,46,2025,4,1,NRL
Bulldogs,10,124,58,66,2025,5,1,NRL
Bulldogs,12,124,58,66,2025,6,1,NRL
Bulldogs,14,156,58,98,2025,7,1,NRL
Bulldogs,14,174,100,74,2025,8,1,NRL
Bulldogs,16,212,118,94,2025,9,1,NRL
Bulldogs,2,15,14,1,2026,1,7,NRL
Bulldogs,4,15,14,1,2026,2,6,NRL
Bulldogs,6,29,24,5,2026,3,3,NRL
Bulldogs,6,45,48,-3,2026,4,6,NRL
Bulldogs,6,69,80,-11,2026,5,9,NRL
Bulldogs,8,101,96,5,2026,6,7,NRL
Bulldogs,8,121,134,-13,2026,7,10,NRL
Bulldogs,8,121,134,-13,2026,8,10,NRL
Bulldogs,8,121,134,-13,2026,9,10,NRL
Bulldogs,8,157,238,-81,2026,10,13,NRL
Bulldogs,8,173,276,-103,2026,11,14,NRL
Bulldogs,10,203,296,-93,2026,12,13,NRL
Cowboys,2,20,14,6,2016,1,7,NRL
Cowboys,2,36,34,2,2016,2,8,NRL
Cowboys,4,76,34,42,2016,3,4,NRL
Cowboys,4,96,55,41,2016,4,8,NRL
Cowboys,6,132,55,77,2016,5,4,NRL
Cowboys,8,155,73,82,2016,6,2,NRL
Cowboys,10,199,91,108,2016,7,2,NRL
Cowboys,12,231,107,124,2016,8,2,NRL
Cowboys,14,265,125,140,2016,9,1,NRL
Cowboys,2,20,16,4,2017,1,7,NRL
Cowboys,4,41,36,5,2017,2,4,NRL
Cowboys,4,49,66,-17,2017,3,6,NRL
Cowboys,6,81,92,-11,2017,4,4,NRL
Cowboys,8,101,98,3,2017,5,4,NRL
Cowboys,8,117,124,-7,2017,6,5,NRL
Cowboys,8,139,152,-13,2017,7,8,NRL
Cowboys,10,163,164,-1,2017,8,6,NRL
Cowboys,10,169,190,-21,2017,9,9,NRL
Cowboys,2,20,14,6,2018,1,5,NRL
Cowboys,2,40,38,2,2018,2,9,NRL
Cowboys,2,54,68,-14,2018,3,12,NRL
Cowboys,2,68,101,-33,2018,4,13,NRL
Cowboys,2,80,123,-43,2018,5,14,NRL
Cowboys,2,90,150,-60,2018,6,15,NRL
Cowboys,4,116,164,-48,2018,7,15,NRL
Cowboys,4,124,182,-58,2018,8,15,NRL
Cowboys,6,150,202,-52,2018,9,12,NRL
Cowboys,2,24,12,12,2019,1,4,NRL
Cowboys,2,34,41,-7,2019,2,12,NRL
Cowboys,2,50,83,-33,2019,3,13,NRL
Cowboys,2,62,113,-51,2019,4,15,NRL
Cowboys,2,74,131,-57,2019,5,15,NRL
Cowboys,4,91,141,-50,2019,6,13,NRL
Cowboys,4,103,165,-62,2019,7,15,NRL
Cowboys,6,131,179,-48,2019,8,11,NRL
Cowboys,6,147,211,-64,2019,9,13,NRL
Cowboys,0,21,28,-7,2020,1,12,NRL
Cowboys,2,45,44,1,2020,2,7,NRL
Cowboys,4,81,50,31,2020,3,5,NRL
Cowboys,4,97,76,21,2020,4,7,NRL
Cowboys,4,123,113,10,2020,5,8,NRL
Cowboys,4,143,149,-6,2020,6,10,NRL
Cowboys,6,175,169,6,2020,7,10,NRL
Cowboys,6,179,211,-32,2020,8,11,NRL
Cowboys,6,195,253,-58,2020,9,12,NRL
Cowboys,0,0,24,-24,2021,1,15,NRL
Cowboys,0,18,49,-31,2021,2,13,NRL
Cowboys,0,26,93,-67,2021,3,14,NRL
Cowboys,0,36,141,-105,2021,4,14,NRL
Cowboys,2,70,171,-101,2021,5,14,NRL
Cowboys,4,100,189,-89,2021,6,13,NRL
Cowboys,6,126,213,-87,2021,7,12,NRL
Cowboys,6,146,237,-91,2021,8,12,NRL
Cowboys,8,165,255,-90,2021,9,11,NRL
Cowboys,0,4,6,-2,2022,1,9,NRL
Cowboys,2,30,12,18,2022,2,5,NRL
Cowboys,4,68,24,44,2022,3,2,NRL
Cowboys,4,72,52,20,2022,4,5,NRL
Cowboys,4,96,77,19,2022,5,8,NRL
Cowboys,6,114,89,25,2022,6,7,NRL
Cowboys,8,144,93,51,2022,7,5,NRL
Cowboys,10,179,97,82,2022,8,3,NRL
Cowboys,12,215,113,102,2022,9,3,NRL
Cowboys,2,19,18,1,2023,1,8,NRL
Cowboys,2,35,46,-11,2023,2,13,NRL
Cowboys,2,47,72,-25,2023,3,15,NRL
Cowboys,4,71,84,-13,2023,4,13,NRL
Cowboys,4,85,99,-14,2023,5,14,NRL
Cowboys,4,107,131,-24,2023,6,15,NRL
Cowboys,4,121,153,-32,2023,7,16,NRL
Cowboys,6,139,169,-30,2023,8,15,NRL
Cowboys,6,145,213,-68,2023,9,16,NRL
Cowboys,2,43,18,25,2024,1,1,NRL
Cowboys,4,64,38,26,2024,2,2,NRL
Cowboys,6,110,62,48,2024,3,1,NRL
Cowboys,6,122,100,22,2024,4,3,NRL
Cowboys,8,157,122,35,2024,5,2,NRL
Cowboys,8,177,149,28,2024,6,4,NRL
Cowboys,8,183,191,-8,2024,7,8,NRL
Cowboys,8,203,217,-14,2024,8,9,NRL
Cowboys,8,229,245,-16,2024,9,10,NRL
Cowboys,0,12,42,-30,2025,1,15,NRL
Cowboys,0,24,78,-54,2025,2,16,NRL
Cowboys,0,40,104,-64,2025,3,16,NRL
Cowboys,2,70,124,-54,2025,4,14,NRL
Cowboys,4,92,142,-50,2025,5,13,NRL
Cowboys,6,116,158,-42,2025,6,13,NRL
Cowboys,8,116,158,-42,2025,7,9,NRL
Cowboys,10,166,176,-10,2025,8,6,NRL
Cowboys,10,192,206,-14,2025,9,9,NRL
Cowboys,0,18,28,-10,2026,1,13,NRL
Cowboys,0,34,72,-38,2026,2,16,NRL
Cowboys,2,64,88,-24,2026,3,12,NRL
Cowboys,4,92,112,-20,2026,4,11,NRL
Cowboys,6,124,112,12,2026,5,7,NRL
Cowboys,8,159,143,16,2026,6,4,NRL
Cowboys,8,165,181,-16,2026,7,11,NRL
Cowboys,8,165,181,-16,2026,8,11,NRL
Cowboys,8,165,181,-16,2026,9,11,NRL
Cowboys,12,269,260,9,2026,10,7,NRL
Cowboys,14,287,272,15,2026,11,7,NRL
Cowboys,16,317,290,27,2026,12,6,NRL
Dolphins,2,28,18,10,2023,1,3,NRL
Dolphins,4,48,32,16,2023,2,2,NRL
Dolphins,6,84,52,32,2023,3,2,NRL
Dolphins,6,96,70,26,2023,4,3,NRL
Dolphins,6,108,108,0,2023,5,7,NRL
Dolphins,8,140,130,10,2023,6,4,NRL
Dolphins,8,154,166,-12,2023,7,8,NRL
Dolphins,10,182,192,-10,2023,8,8,NRL
Dolphins,10,212,223,-11,2023,9,9,NRL
Dolphins,0,18,43,-25,2024,1,17,NRL
Dolphins,2,56,43,13,2024,2,6,NRL
Dolphins,4,56,43,13,2024,3,7,NRL
Dolphins,6,86,57,29,2024,4,1,NRL
Dolphins,8,112,73,39,2024,5,1,NRL
Dolphins,8,126,101,25,2024,6,5,NRL
Dolphins,10,170,117,53,2024,7,3,NRL
Dolphins,10,184,135,49,2024,8,6,NRL
Dolphins,12,212,161,51,2024,9,4,NRL
Dolphins,0,14,16,-2,2025,1,10,NRL
Dolphins,0,26,42,-16,2025,2,15,NRL
Dolphins,0,44,72,-28,2025,3,15,NRL
Dolphins,0,56,92,-36,2025,4,16,NRL
Dolphins,2,92,102,-10,2025,5,14,NRL
Dolphins,4,122,114,8,2025,6,14,NRL
Dolphins,6,164,136,28,2025,7,10,NRL
Dolphins,6,192,176,16,2025,8,12,NRL
Dolphins,6,218,212,6,2025,9,14,NRL
Dolphins,0,30,40,-10,2026,1,12,NRL
Dolphins,2,48,54,-6,2026,2,9,NRL
Dolphins,4,86,64,22,2026,3,6,NRL
Dolphins,4,98,90,8,2026,4,8,NRL
Dolphins,4,116,142,-26,2026,5,13,NRL
Dolphins,6,116,142,-26,2026,6,12,NRL
Dolphins,6,138,165,-27,2026,7,12,NRL
Dolphins,6,138,165,-27,2026,8,12,NRL
Dolphins,6,138,165,-27,2026,9,12,NRL
Dolphins,10,228,207,21,2026,10,9,NRL
Dolphins,12,260,217,43,2026,11,8,NRL
Dolphins,14,290,239,51,2026,12,8,NRL
Dragons,0,16,18,-2,2016,1,9,NRL
Dragons,0,18,48,-30,2016,2,13,NRL
Dragons,2,26,54,-28,2016,3,13,NRL
Dragons,4,40,66,-26,2016,4,12,NRL
Dragons,4,40,102,-62,2016,5,14,NRL
Dragons,4,40,128,-88,2016,6,14,NRL
Dragons,6,59,142,-83,2016,7,13,NRL
Dragons,8,79,160,-81,2016,8,9,NRL
Dragons,8,89,186,-97,2016,9,10,NRL
Dragons,2,42,10,32,2017,1,1,NRL
Dragons,2,58,44,14,2017,2,6,NRL
Dragons,4,74,54,20,2017,3,3,NRL
Dragons,6,100,66,34,2017,4,3,NRL
Dragons,8,128,72,56,2017,5,2,NRL
Dragons,10,163,82,81,2017,6,1,NRL
Dragons,12,191,104,87,2017,7,1,NRL
Dragons,12,203,117,86,2017,8,2,NRL
Dragons,12,225,151,74,2017,9,2,NRL
Dragons,2,34,12,22,2018,1,1,NRL
Dragons,4,54,28,26,2018,2,1,NRL
Dragons,6,108,36,72,2018,3,1,NRL
Dragons,8,138,48,90,2018,4,1,NRL
